,Master,Sub.plate,Treatment,Strain,OD,Read,Time
101,2,1,Basal,ECOR50,0.173,4,4.331344114
102,2,1,Basal,ECOR50,0.5507,32,37.37324745
103,2,1,Basal,ECOR50,0.6296,23,26.74503043
104,2,1,Basal,ECOR50,0.6329,25,29.10643746
105,2,1,Basal,ECOR50,0.4654,40,46.83960165
106,2,1,Basal,ECOR50,0.4611,41,48.00735286
107,2,1,Basal,ECOR50,0.6775,26,30.28746068
108,2,1,Basal,ECOR50,0.6241,21,24.3874269
109,2,1,Basal,ECOR50,0.5306,34,39.72138446
110,2,1,Basal,ECOR50,0.4313,11,12.590486
111,2,1,Basal,ECOR50,0.6387,24,27.92220587
112,2,1,Basal,ECOR50,0.3163,8,9.036202205
113,2,1,Basal,ECOR50,0.5866,30,35.00613044
114,2,1,Basal,ECOR50,0.5234,35,40.90992969
115,2,1,Basal,ECOR50,0.6035,18,20.8299925
116,2,1,Basal,ECOR50,0.4894,38,44.49044362
117,2,1,Basal,ECOR50,0.4695,12,13.76313307
118,2,1,Basal,ECOR50,0.5272,14,16.11432724
119,2,1,Basal,ECOR50,0.2496,6,6.69156114
120,2,1,Basal,ECOR50,0.1148,3,3.153949726
121,2,1,Basal,ECOR50,0.5819,17,19.65781535
122,2,1,Basal,ECOR50,0.6303,22,25.56422183
123,2,1,Basal,ECOR50,0.5667,16,18.4723709
124,2,1,Basal,707971,0.4193,10,11.40206769
125,2,1,Basal,707971,0.5343,23,26.74525918
126,2,1,Basal,707971,0.4301,34,39.72161326
127,2,1,Basal,707971,0.5174,15,17.29115129
128,2,1,Basal,707971,0.3802,9,10.21407901
129,2,1,Basal,707971,0.4702,29,33.81865951
130,2,1,Basal,707971,0.511,24,27.92243467
131,2,1,Basal,707971,0.4529,31,36.19653143
132,2,1,Basal,707971,0.4424,32,37.37347625
133,2,1,Basal,707971,0.5323,20,23.2142955
134,2,1,Basal,707971,0.5307,21,24.38765565
135,2,1,Basal,707971,0.2113,4,4.331572869
136,2,1,Basal,707971,0.483,12,13.76336178
137,2,1,Basal,707971,0.4432,33,38.55098668
138,2,1,Basal,707971,0.5378,22,25.56445058
139,2,1,Basal,707971,0.4023,37,43.3013202
140,2,1,Basal,707971,0.4763,28,32.63667706
141,2,1,Basal,707971,0.3914,38,44.49067242
142,2,1,Basal,707971,0.0445,1,0.809426337
143,2,1,Basal,707971,0.4949,13,14.93407386
144,2,1,Basal,707971,0.074,2,1.980412703
145,2,1,Basal,707971,0.5069,14,16.11455608
146,2,1,Basal,707971,0.2324,5,5.514703752
147,2,1,Basal,707971,0.3712,40,46.8398305
148,2,1,Basal,707971,0.2661,6,6.691789849
149,2,1,Basal,707971,0.3637,41,48.00758175
150,2,1,Basal,707971,0.5272,18,20.83022126
151,2,1,Basal,707971,0.4102,36,42.11932244
152,2,1,Basal,707971,0.3832,39,45.67386503
153,2,1,Basal,707971,0.1628,3,3.154178436
154,2,1,Basal,707971,0.4613,30,35.0063592
155,2,1,Basal,707971,0.3009,7,7.863480936
156,2,1,Basal,707971,0.5157,25,29.10666622
157,2,1,Basal,707971,0.496,26,30.28768944
158,2,1,Basal,707971,0.4221,35,40.91015849
159,2,1,Basal,707971,0.4859,27,31.46030581
160,2,1,Basal,707971,0.5194,17,19.65804429
161,2,1,Basal,707971,0.4603,11,12.5907148
162,2,1,Basal,707971,0.5248,19,22.0306174
163,2,1,Basal,707971,0.3401,8,9.036430914
164,2,1,Basal,707971,0.5256,16,18.47259961
165,2,1,Basal,ECOR29,0.5875,18,20.82793371
166,2,1,Basal,ECOR29,0.5323,34,39.71932526
167,2,1,Basal,ECOR29,0.045,2,1.978125155
168,2,1,Basal,ECOR29,0.5645,29,33.8163715
169,2,1,Basal,ECOR29,0.5951,19,22.02832803
170,2,1,Basal,ECOR29,0.5679,28,32.63438952
171,2,1,Basal,ECOR29,0.4978,38,44.48838442
172,2,1,Basal,ECOR29,0.2945,7,7.861193844
173,2,1,Basal,ECOR29,0.5087,37,43.29903219
174,2,1,Basal,ECOR29,0.2269,5,5.51241666
175,2,1,Basal,ECOR29,0.5004,39,45.67157703
176,2,1,Basal,ECOR29,0.346,8,9.034143823
177,2,1,Basal,ECOR29,0.525,13,14.93178677
178,2,1,Basal,ECOR29,0.597,20,23.21200796
179,2,1,Basal,ECOR29,0.5804,26,30.28540189
180,2,1,Basal,ECOR29,0.5527,31,36.19424343
181,2,1,Basal,ECOR29,0.5524,15,17.28886419
182,2,1,Basal,ECOR29,0.5678,16,18.47031252
183,2,1,Basal,ECOR29,0.5863,25,29.10437867
184,2,1,Basal,ECOR29,0.4888,40,46.83754204
185,2,1,Basal,ECOR29,0.1642,4,4.329285321
186,2,1,Basal,ECOR29,0.4693,11,12.5884268
187,2,1,Basal,ECOR29,0.5747,27,31.4580178
